127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000560
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000710
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001278
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001439
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000921
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000384
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000632
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000314
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000306
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001590
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001155
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001054
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000280
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000377
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000684
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000331
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001291
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002060
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002036
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/js/typeahead.min.js, HTTP/1.1, 200, 0.000983
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000296
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.001769
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000742
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/images/files_toggle.png, HTTP/1.1, 200, 0.000809
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2015-03-07 10:55:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/default/edit/storynode/models/menu.py, HTTP/1.1, 200, 0.052647
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.079178
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.110060
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.128277
127.0.0.1, 2015-03-07 10:55:29, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001326
127.0.0.1, 2015-03-07 10:55:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.281734
127.0.0.1, 2015-03-07 10:55:29, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 0.394697
127.0.0.1, 2015-03-07 10:56:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149462
127.0.0.1, 2015-03-07 10:56:30, GET, /storynode/appadmin/hooks, HTTP/1.1, 200, 1.394752
127.0.0.1, 2015-03-07 10:56:38, POST, /admin/default/edit/storynode/models/menu.py, HTTP/1.1, 200, 0.073668
127.0.0.1, 2015-03-07 10:56:51, GET, /admin/default/site, HTTP/1.1, 200, 0.058812
127.0.0.1, 2015-03-07 10:56:51, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000389
